"subjectkey","subjectkey_numeric","class","prob1","prob2","prob3","prob4","prob5"
"NDAR_INV05T64PXD",67,4,0.0896791747767056,6.1377000030916e-09,0.383537218600601,0.501286806210325,0.0254967942746686
"NDAR_INV05WK8AN7",68,4,2.94218819313021e-05,2.45162846872057e-17,0.433460597444274,0.56650811613145,1.86454234408644e-06
"NDAR_INV05X0LM1N",69,4,3.96693164681748e-05,2.86990119615971e-15,0.433405107140159,0.566440415908645,0.000114807634724786
"NDAR_INV05YY477E",70,5,0.182990910828859,0.000139362449883062,0.218283501956987,0.28530023618135,0.313285988582921
"NDAR_INV06A9DLE9",71,5,3.84587582185377e-05,5.2958520634235e-05,0.000189925945787874,0.000248228901520062,0.999470427873839
"NDAR_INV06BKAHN5",72,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV06DE9Y0L",73,4,0.0988189013099762,2.92687997118938e-07,0.258698822637752,0.338121558691937,0.304360424672337
"NDAR_INV06DJHEV0",74,4,0.237948739206017,2.15121410627144e-07,0.27181799031487,0.355270733446032,0.134962321911671
"NDAR_INV06DP74KL",75,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV06DX0E7R",76,4,9.4025766401492e-05,1.23831092625598e-17,0.433428747631179,0.566475693375556,1.53322686367016e-06
"NDAR_INV06LWXY67",77,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV06TBFD6R",78,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV06U4DYFY",79,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV06WHVUPX",80,4,5.55987816622266e-06,5.14685871650397e-14,0.433107230385916,0.566044091184188,0.000843118551679008
"NDAR_INV07924XF1",81,4,0.238644594922964,8.43925868052883e-08,0.284220304438885,0.371479428485264,0.1056555877603
"NDAR_INV07BR8GMY",82,4,7.63223311169004e-06,6.44519841046098e-15,0.433174233927112,0.566131299318713,0.000686834521056921
"NDAR_INV07CMT243",83,4,1.84895213773308e-05,1.63246412695205e-17,0.433462562571175,0.566512910903552,6.03700389624592e-06
"NDAR_INV07HGA3B7",84,5,0.107862621713369,0.0187373870157353,0.00013094924150799,0.000171158162113194,0.873097883867275
"NDAR_INV07K2M5P4",85,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV07RAHHYH",86,4,0.126929406969894,7.51576573879608e-09,0.363851175186508,0.475556185502422,0.0336632248254103
"NDAR_INV07RPB2TU",87,4,0.0126667266650751,2.64232278607827e-11,0.426751961479091,0.557761190324887,0.00282012150452327
"NDAR_INV07THBLHG",88,1,0.801037920525513,5.21205991714444e-06,0.041145918084671,0.0537793637207997,0.104031585609099
"NDAR_INV07UK1DPH",89,4,0.0471377169508288,7.4470752456978e-12,0.412912377977225,0.539681373693127,0.0002685313713722
"NDAR_INV07XG8391",90,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
